OMRÅDE;CIVILSTAND;TID;ALDER;INDHOLD
101;G;2008K3;91;74
101;G;2008K3;92;48
101;G;2008K3;93;38
101;G;2008K3;94;30
101;G;2008K3;95;26
101;G;2008K3;96;9
101;G;2008K3;97;5
101;G;2008K3;98;3
101;G;2008K3;99;1
101;G;2008K3;100;1
101;G;2008K3;101;1
101;G;2008K3;102;0
101;G;2008K3;103;0
101;G;2008K3;104;0
101;G;2008K3;105;0
101;G;2008K3;106;0
101;G;2008K3;107;0
101;G;2008K3;108;0
101;G;2008K3;109;0
101;G;2008K3;110;0
101;G;2008K3;111;0
101;G;2008K3;112;0
101;G;2008K3;113;0
101;G;2008K3;114;0
101;G;2008K3;115;0
101;G;2008K3;116;0
101;G;2008K3;117;0
101;G;2008K3;118;0
101;G;2008K3;119;0
101;G;2008K3;120;0
101;G;2008K3;121;0
101;G;2008K3;122;0
101;G;2008K3;123;0
101;G;2008K3;124;0
101;G;2008K3;125;0
101;G;2008K4;IALT;130727
101;G;2008K4;0;0
101;G;2008K4;1;0
101;G;2008K4;2;0
101;G;2008K4;3;0
101;G;2008K4;4;0
101;G;2008K4;5;0
101;G;2008K4;6;0
101;G;2008K4;7;0
101;G;2008K4;8;0
101;G;2008K4;9;0
101;G;2008K4;10;0
101;G;2008K4;11;0
101;G;2008K4;12;0
101;G;2008K4;13;0
101;G;2008K4;14;0
101;G;2008K4;15;0
101;G;2008K4;16;2
101;G;2008K4;17;2
101;G;2008K4;18;6
101;G;2008K4;19;31
101;G;2008K4;20;74
101;G;2008K4;21;134
101;G;2008K4;22;228
101;G;2008K4;23;374
101;G;2008K4;24;539
101;G;2008K4;25;809
101;G;2008K4;26;1212
101;G;2008K4;27;1614
101;G;2008K4;28;2182
101;G;2008K4;29;2576
101;G;2008K4;30;3085
101;G;2008K4;31;3338
101;G;2008K4;32;3636
101;G;2008K4;33;3914
101;G;2008K4;34;3986
101;G;2008K4;35;3786
101;G;2008K4;36;3853
101;G;2008K4;37;3537
101;G;2008K4;38;3420
101;G;2008K4;39;3234
101;G;2008K4;40;3287
101;G;2008K4;41;3257
101;G;2008K4;42;3255
101;G;2008K4;43;3237
101;G;2008K4;44;3151
101;G;2008K4;45;2872
101;G;2008K4;46;2661
101;G;2008K4;47;2704
101;G;2008K4;48;2599
101;G;2008K4;49;2516
101;G;2008K4;50;2430
101;G;2008K4;51;2427
101;G;2008K4;52;2479
101;G;2008K4;53;2461
101;G;2008K4;54;2431
101;G;2008K4;55;2467
101;G;2008K4;56;2272
101;G;2008K4;57;2331
101;G;2008K4;58;2415
101;G;2008K4;59;2273
101;G;2008K4;60;2467
101;G;2008K4;61;2617
101;G;2008K4;62;2467
101;G;2008K4;63;2342
101;G;2008K4;64;2123
101;G;2008K4;65;2005
101;G;2008K4;66;1735
101;G;2008K4;67;1458
101;G;2008K4;68;1393
101;G;2008K4;69;1322
101;G;2008K4;70;1156
101;G;2008K4;71;995
101;G;2008K4;72;968
101;G;2008K4;73;910
101;G;2008K4;74;804
101;G;2008K4;75;734
101;G;2008K4;76;688
101;G;2008K4;77;668
101;G;2008K4;78;628
101;G;2008K4;79;541
101;G;2008K4;80;523
101;G;2008K4;81;479
101;G;2008K4;82;425
101;G;2008K4;83;396
101;G;2008K4;84;374
101;G;2008K4;85;290
101;G;2008K4;86;260
101;G;2008K4;87;222
101;G;2008K4;88;179
101;G;2008K4;89;123
101;G;2008K4;90;108
101;G;2008K4;91;76
101;G;2008K4;92;48
101;G;2008K4;93;24
101;G;2008K4;94;34
101;G;2008K4;95;26
101;G;2008K4;96;8
101;G;2008K4;97;7
101;G;2008K4;98;4
101;G;2008K4;99;1
101;G;2008K4;100;1
101;G;2008K4;101;1
101;G;2008K4;102;0
101;G;2008K4;103;0
101;G;2008K4;104;0
101;G;2008K4;105;0
101;G;2008K4;106;0
101;G;2008K4;107;0
101;G;2008K4;108;0
101;G;2008K4;109;0
101;G;2008K4;110;0
101;G;2008K4;111;0
101;G;2008K4;112;0
101;G;2008K4;113;0
101;G;2008K4;114;0
101;G;2008K4;115;0
101;G;2008K4;116;0
101;G;2008K4;117;0
101;G;2008K4;118;0
101;G;2008K4;119;0
101;G;2008K4;120;0
101;G;2008K4;121;0
101;G;2008K4;122;0
101;G;2008K4;123;0
101;G;2008K4;124;0
101;G;2008K4;125;0
101;G;2009K1;IALT;130995
101;G;2009K1;0;0
101;G;2009K1;1;0
101;G;2009K1;2;0
101;G;2009K1;3;0
101;G;2009K1;4;0
101;G;2009K1;5;0
101;G;2009K1;6;0
101;G;2009K1;7;0
101;G;2009K1;8;0
101;G;2009K1;9;0
101;G;2009K1;10;0
101;G;2009K1;11;0
101;G;2009K1;12;0
101;G;2009K1;13;0
101;G;2009K1;14;0
101;G;2009K1;15;0
101;G;2009K1;16;1
101;G;2009K1;17;3
101;G;2009K1;18;4
101;G;2009K1;19;32
101;G;2009K1;20;84
101;G;2009K1;21;139
101;G;2009K1;22;218
101;G;2009K1;23;370
101;G;2009K1;24;558
101;G;2009K1;25;771
101;G;2009K1;26;1210
101;G;2009K1;27;1589
101;G;2009K1;28;2139
101;G;2009K1;29;2530
101;G;2009K1;30;3095
101;G;2009K1;31;3357
101;G;2009K1;32;3584
101;G;2009K1;33;3936
101;G;2009K1;34;4025
101;G;2009K1;35;3826
101;G;2009K1;36;3841
101;G;2009K1;37;3590
101;G;2009K1;38;3471
101;G;2009K1;39;3253
101;G;2009K1;40;3260
101;G;2009K1;41;3233
101;G;2009K1;42;3300
101;G;2009K1;43;3209
101;G;2009K1;44;3239
101;G;2009K1;45;2896
101;G;2009K1;46;2724
101;G;2009K1;47;2623
101;G;2009K1;48;2665
101;G;2009K1;49;2463
101;G;2009K1;50;2446
101;G;2009K1;51;2442
101;G;2009K1;52;2525
101;G;2009K1;53;2455
101;G;2009K1;54;2407
101;G;2009K1;55;2463
101;G;2009K1;56;2332
101;G;2009K1;57;2313
101;G;2009K1;58;2404
101;G;2009K1;59;2270
101;G;2009K1;60;2419
101;G;2009K1;61;2591
101;G;2009K1;62;2511
101;G;2009K1;63;2348
101;G;2009K1;64;2135
101;G;2009K1;65;1970
101;G;2009K1;66;1825
101;G;2009K1;67;1486
101;G;2009K1;68;1389
101;G;2009K1;69;1331
101;G;2009K1;70;1182
101;G;2009K1;71;990
101;G;2009K1;72;945
101;G;2009K1;73;953
101;G;2009K1;74;779
101;G;2009K1;75;743
101;G;2009K1;76;701
101;G;2009K1;77;653
101;G;2009K1;78;618
101;G;2009K1;79;565
101;G;2009K1;80;518
101;G;2009K1;81;462
101;G;2009K1;82;416
101;G;2009K1;83;378
101;G;2009K1;84;374
101;G;2009K1;85;293
101;G;2009K1;86;268
101;G;2009K1;87;215
101;G;2009K1;88;178
101;G;2009K1;89;124
101;G;2009K1;90;98
101;G;2009K1;91;83
101;G;2009K1;92;49
101;G;2009K1;93;30
101;G;2009K1;94;33
101;G;2009K1;95;18
101;G;2009K1;96;16
101;G;2009K1;97;7
101;G;2009K1;98;3
101;G;2009K1;99;2
101;G;2009K1;100;1
101;G;2009K1;101;0
101;G;2009K1;102;0
101;G;2009K1;103;0
101;G;2009K1;104;0
101;G;2009K1;105;0
101;G;2009K1;106;0
101;G;2009K1;107;0
101;G;2009K1;108;0
101;G;2009K1;109;0
101;G;2009K1;110;0
101;G;2009K1;111;0
101;G;2009K1;112;0
101;G;2009K1;113;0
101;G;2009K1;114;0
101;G;2009K1;115;0
101;G;2009K1;116;0
101;G;2009K1;117;0
101;G;2009K1;118;0
101;G;2009K1;119;0
101;G;2009K1;120;0
101;G;2009K1;121;0
101;G;2009K1;122;0
101;G;2009K1;123;0
101;G;2009K1;124;0
101;G;2009K1;125;0
101;G;2009K2;IALT;130736
101;G;2009K2;0;0
101;G;2009K2;1;0
101;G;2009K2;2;0
101;G;2009K2;3;0
101;G;2009K2;4;0
101;G;2009K2;5;0
101;G;2009K2;6;0
101;G;2009K2;7;0
101;G;2009K2;8;0
101;G;2009K2;9;0
101;G;2009K2;10;0
101;G;2009K2;11;0
101;G;2009K2;12;0
101;G;2009K2;13;0
101;G;2009K2;14;0
101;G;2009K2;15;0
101;G;2009K2;16;0
101;G;2009K2;17;4
101;G;2009K2;18;8
101;G;2009K2;19;33
101;G;2009K2;20;87
101;G;2009K2;21;143
101;G;2009K2;22;227
101;G;2009K2;23;370
101;G;2009K2;24;565
101;G;2009K2;25;803
101;G;2009K2;26;1151
101;G;2009K2;27;1598
101;G;2009K2;28;2066
101;G;2009K2;29;2524
101;G;2009K2;30;3046
101;G;2009K2;31;3315
101;G;2009K2;32;3536
101;G;2009K2;33;3797
101;G;2009K2;34;4041
101;G;2009K2;35;3854
101;G;2009K2;36;3886
101;G;2009K2;37;3631
101;G;2009K2;38;3457
101;G;2009K2;39;3234
101;G;2009K2;40;3249
101;G;2009K2;41;3247
101;G;2009K2;42;3250
101;G;2009K2;43;3226
101;G;2009K2;44;3149
101;G;2009K2;45;3031
101;G;2009K2;46;2717
101;G;2009K2;47;2665
101;G;2009K2;48;2660
101;G;2009K2;49;2436
101;G;2009K2;50;2515
101;G;2009K2;51;2421
101;G;2009K2;52;2447
101;G;2009K2;53;2484
101;G;2009K2;54;2399
101;G;2009K2;55;2468
101;G;2009K2;56;2338
101;G;2009K2;57;2285
101;G;2009K2;58;2378
101;G;2009K2;59;2324
101;G;2009K2;60;2319
101;G;2009K2;61;2530
101;G;2009K2;62;2545
101;G;2009K2;63;2319
101;G;2009K2;64;2201
101;G;2009K2;65;2035
101;G;2009K2;66;1873
101;G;2009K2;67;1502
101;G;2009K2;68;1387
101;G;2009K2;69;1345
101;G;2009K2;70;1186
101;G;2009K2;71;1019
101;G;2009K2;72;948
101;G;2009K2;73;925
101;G;2009K2;74;788
101;G;2009K2;75;753
101;G;2009K2;76;687
101;G;2009K2;77;637
101;G;2009K2;78;602
101;G;2009K2;79;567
101;G;2009K2;80;497
101;G;2009K2;81;467
101;G;2009K2;82;399
101;G;2009K2;83;378
101;G;2009K2;84;368
101;G;2009K2;85;280
101;G;2009K2;86;259
101;G;2009K2;87;216
101;G;2009K2;88;185
101;G;2009K2;89;121
101;G;2009K2;90;97
101;G;2009K2;91;82
101;G;2009K2;92;44
101;G;2009K2;93;34
101;G;2009K2;94;27
101;G;2009K2;95;21
101;G;2009K2;96;15
101;G;2009K2;97;7
101;G;2009K2;98;2
101;G;2009K2;99;2
101;G;2009K2;100;2
101;G;2009K2;101;0
101;G;2009K2;102;0
101;G;2009K2;103;0
101;G;2009K2;104;0
101;G;2009K2;105;0
101;G;2009K2;106;0
101;G;2009K2;107;0
101;G;2009K2;108;0
101;G;2009K2;109;0
101;G;2009K2;110;0
101;G;2009K2;111;0
101;G;2009K2;112;0
101;G;2009K2;113;0
101;G;2009K2;114;0
101;G;2009K2;115;0
101;G;2009K2;116;0
101;G;2009K2;117;0
101;G;2009K2;118;0
101;G;2009K2;119;0
101;G;2009K2;120;0
101;G;2009K2;121;0
101;G;2009K2;122;0
101;G;2009K2;123;0
101;G;2009K2;124;0
101;G;2009K2;125;0
101;G;2009K3;IALT;131489
101;G;2009K3;0;0
101;G;2009K3;1;0
101;G;2009K3;2;0
101;G;2009K3;3;0
101;G;2009K3;4;0
101;G;2009K3;5;0
101;G;2009K3;6;0
101;G;2009K3;7;0
101;G;2009K3;8;0
101;G;2009K3;9;0
101;G;2009K3;10;0
101;G;2009K3;11;0
101;G;2009K3;12;0
101;G;2009K3;13;0
101;G;2009K3;14;0
101;G;2009K3;15;0
101;G;2009K3;16;0
101;G;2009K3;17;3
101;G;2009K3;18;9
101;G;2009K3;19;30
101;G;2009K3;20;72
101;G;2009K3;21;157
101;G;2009K3;22;242
101;G;2009K3;23;367
101;G;2009K3;24;549
101;G;2009K3;25;836
101;G;2009K3;26;1160
101;G;2009K3;27;1611
101;G;2009K3;28;2085
101;G;2009K3;29;2513
101;G;2009K3;30;3041
101;G;2009K3;31;3415
101;G;2009K3;32;3536
101;G;2009K3;33;3889
101;G;2009K3;34;4061
101;G;2009K3;35;3942
101;G;2009K3;36;3839
101;G;2009K3;37;3779
101;G;2009K3;38;3501
101;G;2009K3;39;3323
101;G;2009K3;40;3226
101;G;2009K3;41;3255
101;G;2009K3;42;3233
101;G;2009K3;43;3247
101;G;2009K3;44;3168
101;G;2009K3;45;3079
101;G;2009K3;46;2748
101;G;2009K3;47;2688
101;G;2009K3;48;2643
101;G;2009K3;49;2482
101;G;2009K3;50;2541
101;G;2009K3;51;2424
101;G;2009K3;52;2459
101;G;2009K3;53;2431
101;G;2009K3;54;2441
101;G;2009K3;55;2367
101;G;2009K3;56;2423
101;G;2009K3;57;2277
101;G;2009K3;58;2352
101;G;2009K3;59;2335
101;G;2009K3;60;2283
101;G;2009K3;61;2426
101;G;2009K3;62;2544
101;G;2009K3;63;2329
101;G;2009K3;64;2250
101;G;2009K3;65;2045
101;G;2009K3;66;1917
101;G;2009K3;67;1585
101;G;2009K3;68;1376
101;G;2009K3;69;1326
101;G;2009K3;70;1227
101;G;2009K3;71;1061
101;G;2009K3;72;946
101;G;2009K3;73;925
101;G;2009K3;74;800
101;G;2009K3;75;737
101;G;2009K3;76;701
101;G;2009K3;77;619
101;G;2009K3;78;598
101;G;2009K3;79;573
101;G;2009K3;80;480
101;G;2009K3;81;436
101;G;2009K3;82;410
101;G;2009K3;83;378
101;G;2009K3;84;329
101;G;2009K3;85;303
101;G;2009K3;86;255
101;G;2009K3;87;223
101;G;2009K3;88;174
101;G;2009K3;89;126
101;G;2009K3;90;92
101;G;2009K3;91;82
101;G;2009K3;92;45
101;G;2009K3;93;35
101;G;2009K3;94;27
101;G;2009K3;95;21
101;G;2009K3;96;16
101;G;2009K3;97;6
101;G;2009K3;98;1
101;G;2009K3;99;1
101;G;2009K3;100;1
101;G;2009K3;101;1
101;G;2009K3;102;0
101;G;2009K3;103;0
101;G;2009K3;104;0
101;G;2009K3;105;0
101;G;2009K3;106;0
101;G;2009K3;107;0
101;G;2009K3;108;0
101;G;2009K3;109;0
101;G;2009K3;110;0
101;G;2009K3;111;0
101;G;2009K3;112;0
101;G;2009K3;113;0
101;G;2009K3;114;0
101;G;2009K3;115;0
101;G;2009K3;116;0
101;G;2009K3;117;0
101;G;2009K3;118;0
101;G;2009K3;119;0
101;G;2009K3;120;0
101;G;2009K3;121;0
101;G;2009K3;122;0
101;G;2009K3;123;0
101;G;2009K3;124;0
101;G;2009K3;125;0
101;G;2009K4;IALT;133014
101;G;2009K4;0;0
101;G;2009K4;1;0
101;G;2009K4;2;0
101;G;2009K4;3;0
101;G;2009K4;4;0
101;G;2009K4;5;0
101;G;2009K4;6;0
101;G;2009K4;7;0
101;G;2009K4;8;0
101;G;2009K4;9;0
101;G;2009K4;10;0
101;G;2009K4;11;0
101;G;2009K4;12;0
101;G;2009K4;13;0
101;G;2009K4;14;0
101;G;2009K4;15;0
101;G;2009K4;16;0
101;G;2009K4;17;2
101;G;2009K4;18;17
101;G;2009K4;19;30
101;G;2009K4;20;76
101;G;2009K4;21;178
101;G;2009K4;22;278
101;G;2009K4;23;382
101;G;2009K4;24;599
101;G;2009K4;25;859
101;G;2009K4;26;1188
101;G;2009K4;27;1681
101;G;2009K4;28;2138
101;G;2009K4;29;2719
101;G;2009K4;30;3086
101;G;2009K4;31;3548
101;G;2009K4;32;3637
101;G;2009K4;33;3859
101;G;2009K4;34;4102
101;G;2009K4;35;4075
101;G;2009K4;36;3880
101;G;2009K4;37;3921
101;G;2009K4;38;3524
101;G;2009K4;39;3417
101;G;2009K4;40;3217
101;G;2009K4;41;3240
101;G;2009K4;42;3252
101;G;2009K4;43;3218
101;G;2009K4;44;3230
101;G;2009K4;45;3099
101;G;2009K4;46;2832
101;G;2009K4;47;2657
101;G;2009K4;48;2662
101;G;2009K4;49;2561
101;G;2009K4;50;2523
101;G;2009K4;51;2437
101;G;2009K4;52;2415
101;G;2009K4;53;2476
101;G;2009K4;54;2451
101;G;2009K4;55;2413
101;G;2009K4;56;2440
101;G;2009K4;57;2255
101;G;2009K4;58;2297
101;G;2009K4;59;2369
101;G;2009K4;60;2217
101;G;2009K4;61;2414
101;G;2009K4;62;2524
101;G;2009K4;63;2379
101;G;2009K4;64;2257
101;G;2009K4;65;2067
101;G;2009K4;66;1919
101;G;2009K4;67;1658
101;G;2009K4;68;1389
101;G;2009K4;69;1332
101;G;2009K4;70;1255
101;G;2009K4;71;1089
101;G;2009K4;72;919
101;G;2009K4;73;896
101;G;2009K4;74;858
101;G;2009K4;75;747
101;G;2009K4;76;666
101;G;2009K4;77;627
101;G;2009K4;78;603
101;G;2009K4;79;558
101;G;2009K4;80;475
101;G;2009K4;81;461
101;G;2009K4;82;405
101;G;2009K4;83;349
101;G;2009K4;84;325
101;G;2009K4;85;307
101;G;2009K4;86;244
101;G;2009K4;87;204
101;G;2009K4;88;180
101;G;2009K4;89;136
101;G;2009K4;90;87
101;G;2009K4;91;78
101;G;2009K4;92;46
101;G;2009K4;93;34
101;G;2009K4;94;15
101;G;2009K4;95;27
101;G;2009K4;96;15
101;G;2009K4;97;4
101;G;2009K4;98;5
101;G;2009K4;99;1
101;G;2009K4;100;1
101;G;2009K4;101;1
101;G;2009K4;102;0
101;G;2009K4;103;0
101;G;2009K4;104;0
101;G;2009K4;105;0
101;G;2009K4;106;0
101;G;2009K4;107;0
101;G;2009K4;108;0
101;G;2009K4;109;0
101;G;2009K4;110;0
101;G;2009K4;111;0
101;G;2009K4;112;0
101;G;2009K4;113;0
101;G;2009K4;114;0
101;G;2009K4;115;0
101;G;2009K4;116;0
101;G;2009K4;117;0
101;G;2009K4;118;0
101;G;2009K4;119;0
101;G;2009K4;120;0
101;G;2009K4;121;0
101;G;2009K4;122;0
101;G;2009K4;123;0
101;G;2009K4;124;0
101;G;2009K4;125;0
101;G;2010K1;IALT;133196
101;G;2010K1;0;0
101;G;2010K1;1;0
101;G;2010K1;2;0
101;G;2010K1;3;0
101;G;2010K1;4;0
101;G;2010K1;5;0
101;G;2010K1;6;0
101;G;2010K1;7;0
101;G;2010K1;8;0
101;G;2010K1;9;0
101;G;2010K1;10;0
101;G;2010K1;11;0
101;G;2010K1;12;0
101;G;2010K1;13;0
101;G;2010K1;14;0
101;G;2010K1;15;0
101;G;2010K1;16;0
101;G;2010K1;17;0
101;G;2010K1;18;15
101;G;2010K1;19;31
101;G;2010K1;20;77
101;G;2010K1;21;183
101;G;2010K1;22;272
101;G;2010K1;23;393
